date,label,type,source_name,confidence
2022-02-04,Rockstar confirms GTA VI in active development,official,Rockstar Newswire,high
2022-09-18,Major dev-footage leak (90+ clips) confirmed authentic,leak,GTA Wiki / Rockstar statement,high
2023-12-01,Trailer 1 teaser image posted,official,Rockstar Newswire,high
2023-12-04,Trailer 1 released (leaked ~1 day early),official,Rockstar Newswire,high
2024-05-16,Release window narrowed to Fall 2025,official,Take-Two Q4 earnings,high
2024-09-07,Unverified insider claims internal delay to 2026,rumor,X/Twitter (billsyliamgta) - disputed 2 days later by Jason Schreier,low
2025-01-29,Retailer listing claims Sept 2025 release date,rumor,Notebookcheck / Tom's Guide - later removed,low
2025-02-06,Take-Two Q3 earnings reaffirms release window,official,Take-Two Q3 earnings call,high
2025-05-02,First delay announced (Fall 2025 -> May 2026),official,Rockstar Newswire,high
2025-05-06,Trailer 2 released,official,Rockstar Newswire,high
2025-10-30,Rockstar fires 30+ staff; union-busting controversy,controversy,Bloomberg / Game Developer / CBC,high
2025-11-06,Second delay announced (May 2026 -> Nov 2026),official,Take-Two earnings call,high
2026-05-14,Best Buy marketing email leak fuels pre-order speculation,rumor,Leonidaverse tracking,medium
2026-05-21,Take-Two earnings call locks in release calendar (no further delay),official,Take-Two Q4 earnings call,high
2026-06-18,Official cover art revealed,official,Rockstar Newswire,high
2026-06-24,Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,Rockstar Games site,high
2026-06-25,Pre-orders opened,marketing,Rockstar Newswire,high
2026-08-06,Netflix partnership / Extended Look announced,marketing,Netflix Tudum / Rockstar Newswire,high
2026-08-18,CyberLeek leak wave begins,leak,Left Down Right Up leak tracker,medium
2026-08-25,CyberLeek posts additional leaks and map images,leak,Left Down Right Up leak tracker,medium
2026-08-27,Extended Look released on Netflix/YouTube,official,Netflix Tudum / Rockstar Newswire,high
