event,event_date,event_type,matched_spike_week,days_offset
Trailer 1 teaser image posted,2023-12-01,official,2023-12-03,2
Trailer 1 released (leaked ~1 day early),2023-12-04,official,2023-12-03,-1
Release window narrowed to Fall 2025,2024-05-16,official,2024-05-19,3
Unverified insider claims internal delay to 2026,2024-09-07,rumor,2024-09-08,1
First delay announced (Fall 2025 -> May 2026),2025-05-02,official,2025-04-27,-5
Trailer 2 released,2025-05-06,official,2025-04-27,-9
Rockstar fires 30+ staff; union-busting controversy,2025-10-30,controversy,2025-11-02,3
Second delay announced (May 2026 -> Nov 2026),2025-11-06,official,2025-11-02,-4
Best Buy marketing email leak fuels pre-order speculation,2026-05-14,rumor,2026-05-17,3
Take-Two earnings call locks in release calendar (no further delay),2026-05-21,official,2026-05-17,-4
Official cover art revealed,2026-06-18,official,2026-06-21,3
Promo site updated with Ultimate Edition and Vintage Vice City Pack,2026-06-24,marketing,2026-06-21,-3
Pre-orders opened,2026-06-25,marketing,2026-06-21,-4
CyberLeek leak wave begins,2026-08-18,leak,2026-08-23,5
CyberLeek posts additional leaks and map images,2026-08-25,leak,2026-08-23,-2
Extended Look released on Netflix/YouTube,2026-08-27,official,2026-08-23,-4
